"state","education","financial","nutrition","soc_security","tax","health","housing","resources","employment","education_rank","financial_rank","nutrition_rank","soc_security_rank","tax_rank","health_rank","housing_rank","resources_rank","employment_rank"
"Oklahoma",7011.11,1014.5,401.36,427.48,1587.81,7478.47,377.32,442.2,566.41,"1","2","4","4","4","1","2","2","3"
"Oregon",9937.9,2807.91,369.14,326.77,1336.26,11893.62,643.69,826.27,911.66,"3","5","3","2","2","4","4","5","5"
"Pennsylvania",11032.33,2200.47,373.4,472.14,1364.08,11406.65,605.37,339.06,922.47,"4","5","3","5","2","4","4","1","5"
"Rhode Island",12454.45,1717.26,430.92,440.18,1570.87,10584.56,1204.98,562.2,686.61,"5","4","4","4","4","3","5","3","4"
"South Carolina",8434.93,749.6,488.3,464.27,1796.28,12179.91,377.44,530.15,220.46,"2","1","5","5","5","5","2","3","2"
"South Dakota",7443.78,1530.96,312.59,293.25,1305.2,4493.51,437.14,679.17,125.71,"1","3","2","1","2","1","3","4","1"
"Tennessee",6818.41,1115.68,448.34,447.66,1745.25,8882.43,460.03,379.66,164,"1","2","4","4","5","2","3","1","1"
"Texas",8087.7,585.85,379.72,353.9,1641.41,7099.45,228.48,303.23,449.95,"2","1","3","2","4","1","1","1","3"
"Utah",6816.33,827.98,164.53,231.43,1196.1,5281.64,320.75,491.43,372.4,"1","1","1","1","1","1","1","2","2"
"Vermont",14850.63,3325.65,328.3,391.64,1500.11,13660.48,1138.74,541.79,556,"5","5","2","3","3","5","5","3","3"
"Virginia",8959.15,1527.98,275.59,343.36,1464.45,8201.08,450.93,586.15,207.24,"3","3","1","2","3","2","3","4","1"
"Washington",9909.38,1783.81,326.86,298.09,1208.49,10107.52,684.48,732.88,1807.74,"3","4","2","1","1","3","4","4","5"
"West Virginia",10085.72,1697.39,458.57,589.53,1576.42,11387.99,326.74,547.73,1131.07,"4","4","5","5","4","4","1","3","5"
"Wisconsin",10029.2,2083.21,293.16,369.04,1353.49,9196.49,181.74,594.54,382.49,"4","4","2","3","2","2","1","4","2"
"Wyoming",15969.27,1384,168.82,310.67,1243.39,14129.35,92.92,913.97,2014.54,"5","3","1","1","1","5","1","5","5"
